P -200, 700, -230, 0, 0, 0, 3, Original_Map:_Goodurden_<RoI>
P -200, 900, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -200, 1100, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -200, 1300, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
P -200, 1500, 0, 0, 0, 0, 2, Height_Filter:_40/40
L -111.0000, -1953.7522, -266.4965,  -129.6857, -1953.7615, -266.4964,  240, 240, 240
L -156.2413, -1787.7598, -266.4965,  -179.1995, -1787.7098, -266.4966,  240, 0, 0
L -156.2413, -1787.7598, -266.4966,  -156.2267, -1764.7429, -266.4966,  240, 0, 0
L -81.6894, -1764.8004, -266.4965,  -81.6916, -1788.7025, -266.4965,  0, 127, 127
L -81.7104, -1788.7025, -266.4965,  -82.0016, -1809.9998, -266.4964,  240, 240, 240
L -86.1622, -1788.6938, -266.4966,  -81.6916, -1788.7025, -266.4965,  0, 127, 127
L -105.6840, -1787.2246, -266.4965,  -105.6763, -1764.7429, -266.4965,  240, 240, 240
L -110.2117, -1787.2162, -266.4965,  -110.2399, -1764.7429, -266.4965,  240, 240, 240
L -131.0374, -1838.2214, -266.4965,  -110.0000, -1838.2260, -266.4965,  240, 240, 240
L -110.0000, -1833.7009, -266.4964,  -131.0374, -1833.6855, -266.4965,  240, 240, 240
L -131.0374, -1838.2214, -266.4965,  -131.0374, -1832.9998, -266.4965,  0, 127, 127
L -156.7268, -1814.3109, -266.4965,  -176.7424, -1814.3093, -266.4965,  240, 240, 240
L -156.7244, -1809.7869, -266.4965,  -179.2573, -1809.8018, -266.4965,  240, 240, 240
L -110.0000, -1838.2198, -266.4965,  -105.7415, -1838.2255, -266.4965,  0, 127, 127
L 180.0709, -1787.8337, -266.4965,  203.1998, -1787.8317, -266.4965,  240, 0, 0
L 180.0709, -1787.8337, -266.4965,  180.0554, -1764.8004, -266.4965,  240, 0, 0
L 598.8176, -740.7428, -96.3104,  590.3217, -740.7437, -96.3105,  0, 0, 240
L 590.3217, -740.7437, -96.3105,  590.3201, -733.4926, -96.3104,  0, 0, 240
L 588.6400, -726.9101, -96.3105,  597.1081, -726.9007, -96.3105,  0, 0, 240
L 597.1335, -729.2565, -96.3105,  604.6459, -729.2565, -96.3104,  0, 0, 240
L 604.6459, -733.4947, -96.3104,  604.6459, -726.9087, -96.3105,  0, 0, 240
L 604.6459, -726.9087, -95.8105,  613.1046, -726.9036, -95.8105,  0, 0, 240
L 613.1046, -726.9036, -96.3105,  613.1135, -733.4956, -96.3105,  0, 0, 240
L 613.1135, -733.4956, -96.3105,  604.6459, -733.4947, -96.3105,  0, 0, 240
L 609.6361, -733.4952, -96.3105,  609.6207, -755.2974, -96.3105,  0, 0, 240
L 609.6207, -755.2974, -96.3105,  717.1340, -755.5185, -94.6795,  0, 0, 240
L 717.1340, -755.5185, -96.3104,  717.1343, -684.6691, -96.3104,  0, 0, 240
L 717.1343, -684.6691, -96.3104,  609.6207, -684.6691, -96.3104,  0, 0, 240
L 609.6207, -684.6691, -96.3104,  609.6209, -706.5092, -96.3104,  0, 0, 240
L 604.6498, -706.5146, -96.3104,  613.1075, -706.5053, -96.3105,  0, 0, 240
L 613.1075, -706.5053, -96.3105,  613.1126, -713.0948, -96.3105,  0, 0, 240
L 597.1091, -733.4717, -96.3104,  588.6484, -733.4977, -96.3105,  0, 0, 240
L 597.1091, -733.4717, -96.3104,  597.1081, -726.9007, -96.3105,  0, 0, 240
L 588.6484, -733.4977, -96.3105,  588.6400, -726.9101, -96.3105,  0, 0, 240
L 613.1126, -713.0948, -95.8105,  604.6441, -713.0969, -95.8105,  0, 0, 240
L 604.6441, -713.0969, -96.3105,  604.6498, -706.5146, -96.3105,  0, 0, 240
L 597.1057, -706.5106, -96.3104,  597.1096, -713.0958, -96.3105,  0, 0, 240
L 597.1083, -710.7429, -96.3105,  604.6467, -710.7435, -96.3104,  0, 0, 240
L 597.1096, -713.0958, -96.3105,  588.6454, -713.0938, -96.3104,  0, 0, 240
L 588.6454, -713.0938, -96.3105,  588.6440, -706.5054, -96.3105,  0, 0, 240
L 588.6440, -706.5054, -96.3105,  597.1057, -706.5106, -96.3104,  0, 0, 240
L 590.3195, -706.5064, -96.3104,  590.3197, -699.2714, -96.3105,  0, 0, 240
L 590.3197, -699.2714, -96.3105,  598.8177, -699.2295, -96.3105,  0, 0, 240
L 598.8177, -699.2295, -96.3105,  598.7776, -695.7430, -96.3105,  0, 0, 240
L 598.7776, -695.7430, -96.3105,  585.3161, -695.7435, -96.3105,  0, 0, 240
L 585.3161, -695.7435, -96.3105,  585.3181, -659.7432, -96.3104,  0, 0, 240
L 585.3181, -659.7432, -96.3104,  576.8188, -659.7426, -96.3105,  0, 0, 240
L 576.8188, -659.7426, -96.3105,  576.8201, -652.4924, -96.3104,  0, 0, 240
L 583.6080, -652.4503, -96.3104,  575.1462, -652.5028, -96.3105,  0, 0, 240
L 575.1462, -652.5028, -96.3105,  575.1437, -645.9061, -96.3105,  0, 0, 240
L 575.1437, -645.9061, -96.3105,  583.6085, -645.9017, -96.3105,  0, 0, 240
L 583.6085, -645.9017, -96.3105,  583.6080, -652.4503, -96.3105,  0, 0, 240
L 583.6083, -648.2255, -96.3105,  591.1356, -648.2571, -96.3105,  0, 0, 240
L 591.0881, -652.4957, -96.3105,  591.1619, -645.9077, -96.3105,  0, 0, 240
L 591.1619, -645.9077, -95.8105,  599.6107, -645.9062, -95.8105,  0, 0, 240
L 599.6107, -645.9062, -96.3105,  599.6079, -652.4953, -96.3105,  0, 0, 240
L 599.6079, -652.4953, -96.3105,  591.0881, -652.4957, -96.3104,  0, 0, 240
L 596.1210, -652.4955, -96.3104,  596.1207, -674.3306, -96.3104,  0, 0, 240
L 596.1207, -674.3306, -96.3104,  703.6339, -674.2675, -94.6722,  0, 0, 240
L 703.6339, -674.2675, -96.3104,  703.6339, -603.6685, -96.3104,  0, 0, 240
L 703.6339, -603.6685, -96.3104,  596.1218, -603.6686, -96.3104,  0, 0, 240
L 596.1218, -603.6686, -96.3104,  596.1497, -625.5085, -96.3105,  0, 0, 240
L 591.1496, -625.5139, -96.3105,  599.6067, -625.5048, -96.3105,  0, 0, 240
L 599.6067, -625.5048, -96.3105,  599.6152, -632.1013, -96.3105,  0, 0, 240
L 599.6152, -632.1013, -95.8105,  591.1444, -632.0941, -95.8105,  0, 0, 240
L 591.1444, -632.0941, -96.3105,  591.1496, -625.5139, -96.3104,  0, 0, 240
L 591.1463, -629.7429, -96.3104,  583.6083, -629.7429, -96.3104,  0, 0, 240
L 583.6113, -632.0916, -96.3105,  575.1481, -632.0950, -96.3105,  0, 0, 240
L 575.1481, -632.0950, -96.3105,  575.1417, -625.5034, -96.3105,  0, 0, 240
L 575.1417, -625.5034, -96.3105,  583.6033, -625.5156, -96.3104,  0, 0, 240
L 576.8202, -625.5059, -96.3104,  576.8202, -622.1065, -96.3104,  0, 0, 240
L 576.8202, -622.1065, -96.3104,  571.0659, -622.1070, -96.3105,  0, 0, 240
L 571.0659, -622.1070, -96.3105,  571.0724, -608.2658, -96.3104,  0, 0, 240
L 571.0724, -608.2658, -96.3105,  572.0056, -608.2700, -96.3105,  0, 0, 240
L 572.0056, -608.2700, -96.3105,  572.0263, -594.4567, -96.3104,  0, 0, 240
L 583.6033, -625.5156, -96.3105,  583.6113, -632.0916, -96.3105,  0, 0, 240
L 572.0264, -594.4828, -96.3105,  571.0709, -594.4631, -96.3105,  0, 0, 240
L 571.0709, -594.4631, -96.3104,  571.0665, -580.6187, -96.3105,  0, 0, 240
L 571.0665, -580.6187, -96.3105,  576.8032, -580.6202, -96.3105,  0, 0, 240
L 576.8032, -580.6202, -96.3105,  576.7953, -575.4926, -96.3105,  0, 0, 240
L 583.6063, -575.4890, -96.3105,  575.1487, -575.4934, -96.3105,  0, 0, 240
L 575.1487, -575.4934, -96.3105,  575.1410, -568.8940, -96.3105,  0, 0, 240
L 575.1410, -568.8940, -96.3105,  583.6097, -568.9057, -96.3105,  0, 0, 240
L 583.6097, -568.9057, -96.3105,  583.6063, -575.4890, -96.3104,  0, 0, 240
L 583.6085, -571.2566, -96.3104,  591.1470, -571.2561, -96.3104,  0, 0, 240
L 591.1563, -575.4944, -96.3104,  591.1418, -568.9105, -96.3105,  0, 0, 240
L 591.1418, -568.9105, -95.8105,  599.6046, -568.9055, -95.8105,  0, 0, 240
L 599.6046, -568.9055, -96.3105,  599.6124, -575.4957, -96.3105,  0, 0, 240
L 599.6124, -575.4957, -96.3105,  591.1563, -575.4944, -96.3105,  0, 0, 240
L 596.1484, -575.4952, -96.3105,  596.1204, -597.3312, -96.3104,  0, 0, 240
L 596.1204, -597.3312, -96.3104,  703.6339, -597.2946, -96.3105,  0, 0, 240
L 703.6339, -597.2946, -96.3105,  703.6342, -526.6685, -96.3104,  0, 0, 240
L 703.6342, -526.6685, -96.3104,  596.1205, -526.6824, -96.3105,  0, 0, 240
L 596.1205, -526.6824, -96.3105,  596.1204, -548.5085, -96.3105,  0, 0, 240
L 591.0771, -548.5090, -96.3105,  599.6080, -548.5082, -96.3105,  0, 0, 240
L 599.6080, -548.5082, -96.3105,  599.6096, -555.0950, -96.3105,  0, 0, 240
L 599.6096, -555.0950, -95.8105,  591.1619, -555.0985, -95.8105,  0, 0, 240
L 591.1619, -555.0985, -96.3105,  591.0771, -548.5090, -96.3105,  0, 0, 240
L 591.1316, -552.7426, -96.3105,  583.6082, -552.7430, -96.3104,  0, 0, 240
L 583.6118, -548.5178, -96.3104,  583.6062, -555.0953, -96.3105,  0, 0, 240
L 583.6062, -555.0953, -96.3105,  575.1461, -555.0925, -96.3105,  0, 0, 240
L 575.1461, -555.0925, -96.3105,  575.1450, -548.5040, -96.3105,  0, 0, 240
L 575.1450, -548.5040, -96.3105,  583.6118, -548.5178, -96.3104,  0, 0, 240
L 576.8198, -548.5067, -96.3104,  576.8162, -540.7436, -96.3105,  0, 0, 240
L 576.8162, -540.7436, -96.3105,  537.3107, -540.7432, -96.3105,  0, 0, 240
L 537.3107, -540.7432, -96.3105,  537.1212, -781.3636, -96.3105,  0, 0, 240
L 555.7145, -762.7653, -93.9330,  555.7145, -777.1505, -93.9330,  0, 0, 240
L 555.7145, -777.1505, -93.9331,  541.2409, -777.1482, -93.9330,  0, 0, 240
L 541.2409, -777.1482, -93.9330,  541.2841, -762.8113, -93.9330,  0, 0, 240
L 541.2841, -762.8113, -93.9330,  555.7145, -762.7653, -93.9339,  0, 0, 240
L 555.7679, -691.0508, -93.9330,  541.2858, -691.0508, -93.9330,  0, 0, 240
L 541.2858, -691.0508, -93.9330,  541.2675, -676.6415, -93.9330,  0, 0, 240
L 541.2675, -676.6415, -93.9339,  555.7045, -676.7126, -93.9333,  0, 0, 240
L 555.7045, -676.7126, -93.9332,  555.7679, -691.0508, -93.9339,  0, 0, 240
L 640.5767, -1003.8124, -96.3105,  640.5780, -996.5609, -96.3104,  0, 0, 240
L 638.9109, -989.9705, -96.3105,  647.3655, -989.9733, -96.3105,  0, 0, 240
L 647.3655, -989.9733, -96.3105,  647.3696, -996.5763, -96.3104,  0, 0, 240
L 647.3670, -992.3245, -96.3104,  654.9048, -992.3245, -96.3104,  0, 0, 240
L 654.9177, -996.5601, -96.3104,  654.8977, -989.9781, -96.3105,  0, 0, 240
L 654.8977, -989.9781, -95.8105,  663.3651, -989.9727, -95.8105,  0, 0, 240
L 663.3651, -989.9727, -96.3105,  663.3700, -996.5657, -96.3105,  0, 0, 240
L 663.3700, -996.5657, -96.3105,  654.9177, -996.5601, -96.3104,  0, 0, 240
L 659.8804, -996.5634, -96.3104,  659.8790, -1018.3991, -96.3104,  0, 0, 240
L 659.8790, -1018.3991, -96.3104,  767.3920, -1018.3729, -96.3105,  0, 0, 240
L 767.3920, -1018.3729, -96.3105,  767.3929, -947.7375, -96.3104,  0, 0, 240
L 767.3929, -947.7375, -96.3104,  659.9065, -947.7365, -96.3105,  0, 0, 240
L 659.9065, -947.7365, -96.3105,  659.8790, -969.5766, -96.3104,  0, 0, 240
L 654.9117, -969.5773, -96.3104,  663.3668, -969.5760, -96.3105,  0, 0, 240
L 663.3668, -969.5760, -96.3105,  663.3663, -976.1615, -96.3105,  0, 0, 240
L 663.3663, -976.1615, -95.8105,  654.9011, -976.1681, -95.8105,  0, 0, 240
L 654.9011, -976.1681, -96.3105,  654.9117, -969.5773, -96.3105,  0, 0, 240
L 654.9049, -973.8117, -96.3105,  647.3670, -973.8110, -96.3104,  0, 0, 240
L 647.3696, -969.5901, -96.3104,  647.3655, -976.1611, -96.3105,  0, 0, 240
L 647.3655, -976.1611, -96.3105,  638.9028, -976.1610, -96.3105,  0, 0, 240
L 638.9028, -976.1610, -96.3105,  638.9020, -969.5708, -96.3105,  0, 0, 240
L 638.9020, -969.5708, -96.3105,  647.3696, -969.5901, -96.3105,  0, 0, 240
L 640.5746, -969.5746, -96.3105,  640.5789, -962.3229, -96.3105,  0, 0, 240
L 647.3696, -996.5763, -96.3104,  638.8986, -996.5585, -96.3104,  0, 0, 240
L 638.8986, -996.5585, -96.3105,  638.9109, -989.9705, -96.3105,  0, 0, 240
L 649.0760, -1003.8110, -96.3104,  640.5767, -1003.8124, -96.3105,  0, 0, 240
L 640.5789, -962.3229, -96.3105,  649.0765, -962.3240, -96.3104,  0, 0, 240
L 649.0765, -962.3240, -96.3104,  649.0667, -954.8168, -96.3105,  0, 0, 240
L 649.0667, -954.8168, -96.3105,  644.1638, -954.8181, -96.3105,  0, 0, 240
L 644.1638, -954.8181, -96.3105,  644.1533, -948.2256, -96.3105,  0, 0, 240
L 644.1533, -948.2256, -96.3105,  646.7909, -948.2302, -96.3104,  0, 0, 240
L 646.7909, -948.2302, -96.3104,  646.7916, -934.4172, -96.3105,  0, 0, 240
L 646.7916, -934.4172, -96.3105,  644.1609, -934.4191, -96.3105,  0, 0, 240
L 644.1609, -934.4191, -96.3105,  644.1586, -927.8303, -96.3105,  0, 0, 240
L 644.1586, -927.8303, -96.3105,  649.0765, -927.8291, -96.3105,  0, 0, 240
L 649.0765, -927.8291, -96.3105,  649.0766, -923.6983, -96.3105,  0, 0, 240
L 649.0766, -923.6983, -96.3105,  640.5768, -923.6990, -96.3105,  0, 0, 240
L 640.5768, -923.6990, -96.3105,  640.5781, -916.4478, -96.3104,  0, 0, 240
L 647.3741, -916.4030, -96.3104,  638.9064, -916.4587, -96.3105,  0, 0, 240
L 638.9064, -916.4587, -96.3105,  638.8992, -909.8618, -96.3105,  0, 0, 240
L 638.8992, -909.8618, -96.3105,  647.3646, -909.8580, -96.3105,  0, 0, 240
L 647.3966, -912.2119, -96.3105,  654.9048, -912.2111, -96.3104,  0, 0, 240
L 654.9088, -916.4533, -96.3104,  654.9026, -909.8654, -96.3105,  0, 0, 240
L 654.9026, -909.8654, -95.8105,  663.3652, -909.8613, -95.8105,  0, 0, 240
L 647.3741, -916.4030, -96.3104,  647.3646, -909.8580, -96.3105,  0, 0, 240
L 663.3652, -909.8613, -96.3105,  663.3677, -916.4505, -96.3105,  0, 0, 240
L 663.3677, -916.4505, -96.3105,  654.9088, -916.4533, -96.3104,  0, 0, 240
L 659.8790, -916.4517, -96.3104,  659.9025, -938.2863, -96.3105,  0, 0, 240
L 659.8790, -938.2350, -96.3105,  767.3922, -938.2863, -96.3104,  0, 0, 240
L 767.3922, -938.2863, -96.3104,  767.3926, -867.6238, -96.3104,  0, 0, 240
L 767.3926, -867.6238, -96.3104,  659.8787, -867.6246, -96.3104,  0, 0, 240
L 659.8787, -867.6246, -96.3104,  659.8786, -889.4565, -96.3105,  0, 0, 240
L 654.9112, -889.4417, -96.3105,  663.3660, -889.4670, -96.3105,  0, 0, 240
L 663.3660, -889.4670, -96.3105,  663.3687, -896.0528, -96.3105,  0, 0, 240
L 663.3687, -896.0528, -95.8105,  654.9016, -896.0501, -95.8105,  0, 0, 240
L 654.9016, -896.0501, -96.3105,  654.9112, -889.4417, -96.3104,  0, 0, 240
L 654.9050, -893.6987, -96.3104,  647.3665, -893.6982, -96.3104,  0, 0, 240
L 647.3668, -889.4479, -96.3104,  647.3663, -896.0506, -96.3105,  0, 0, 240
L 647.3663, -896.0506, -96.3105,  638.9058, -896.0521, -96.3105,  0, 0, 240
L 638.9058, -896.0521, -96.3105,  638.8976, -889.4643, -96.3105,  0, 0, 240
L 638.8976, -889.4643, -96.3105,  647.3668, -889.4479, -96.3105,  0, 0, 240
L 640.5322, -889.4612, -96.3105,  640.5944, -882.2094, -96.3105,  0, 0, 240
L 640.5944, -882.2094, -96.3105,  649.0526, -882.2120, -96.3105,  0, 0, 240
L 649.0526, -882.2120, -96.3105,  649.0760, -876.7432, -96.3104,  0, 0, 240
L 649.0760, -876.7432, -96.3104,  599.5254, -876.7435, -96.3105,  0, 0, 240
L 599.5254, -876.7435, -97.3102,  599.3708, -1016.6849, -97.3105,  0, 0, 240
L 619.6453, -1011.9344, -93.9330,  605.1162, -1011.9339, -93.9325,  0, 0, 240
L 605.1162, -1011.9339, -93.9339,  605.2218, -997.5723, -93.9330,  0, 0, 240
L 605.2218, -997.5723, -93.9338,  619.6275, -997.5811, -93.9336,  0, 0, 240
L 619.6275, -997.5811, -93.9330,  619.6453, -1011.9344, -93.9330,  0, 0, 240
L 597.4857, -889.4590, -149.1172,  589.1381, -889.4615, -149.1172,  0, 0, 0
L 461.7589, -1160.6875, -96.3105,  461.7588, -1153.5697, -96.3105,  0, 0, 240
L 460.0848, -1153.4944, -96.3105,  460.0848, -1146.9061, -96.3105,  0, 0, 240
L 468.5396, -1153.4875, -96.3105,  460.0848, -1153.4944, -96.3105,  0, 0, 240
L 460.0848, -1146.9061, -96.3105,  468.5510, -1146.9064, -96.3105,  0, 0, 240
L 468.5510, -1146.9064, -96.3105,  468.5396, -1153.4875, -96.3104,  0, 0, 240
L 468.5469, -1149.2559, -96.3104,  476.0849, -1149.2340, -96.3105,  0, 0, 240
L 476.0859, -1153.4913, -96.3105,  476.0844, -1146.9088, -96.3105,  0, 0, 240
L 476.0844, -1146.9088, -95.8105,  484.5458, -1146.9042, -95.8105,  0, 0, 240
L 484.5458, -1146.9042, -96.3105,  484.5504, -1153.4974, -96.3105,  0, 0, 240
L 484.5504, -1153.4974, -96.3105,  476.0859, -1153.4913, -96.3104,  0, 0, 240
L 481.0612, -1153.4950, -96.3104,  481.0592, -1175.3308, -96.3104,  0, 0, 240
L 481.0592, -1175.3308, -96.3104,  588.5724, -1175.3300, -94.5772,  0, 0, 240
L 588.5724, -1175.3300, -96.3104,  588.5728, -1104.6691, -96.3104,  0, 0, 240
L 588.5728, -1104.6691, -96.3104,  481.0592, -1104.6696, -96.3104,  0, 0, 240
L 481.0592, -1104.6696, -96.3104,  481.0590, -1126.4706, -96.3105,  0, 0, 240
L 476.0948, -1126.4071, -96.3105,  484.5491, -1126.5151, -96.3105,  0, 0, 240
L 484.5479, -1133.0942, -96.3105,  484.5491, -1126.5151, -96.3105,  0, 0, 240
L 476.0591, -1130.7423, -96.3105,  468.5468, -1130.7429, -96.3104,  0, 0, 240
L 468.5462, -1126.5225, -96.3104,  468.5471, -1133.0955, -96.3105,  0, 0, 240
L 484.5479, -1133.0942, -95.8105,  476.0804, -1133.0979, -95.8105,  0, 0, 240
L 476.0948, -1126.4071, -96.3104,  476.0804, -1133.0979, -96.3105,  0, 0, 240
L 468.5471, -1133.0955, -96.3105,  460.0894, -1133.0914, -96.3105,  0, 0, 240
L 460.0894, -1133.0914, -96.3105,  460.0744, -1126.5022, -96.3105,  0, 0, 240
L 460.0744, -1126.5022, -96.3105,  468.5462, -1126.5225, -96.3105,  0, 0, 240
L 461.7530, -1126.5062, -96.3105,  461.7589, -1119.2604, -96.3105,  0, 0, 240
L 461.7589, -1119.2604, -96.3105,  470.2565, -1119.2299, -96.3105,  0, 0, 240
L 470.2565, -1119.2299, -96.3105,  470.2437, -1115.7432, -96.3105,  0, 0, 240
L 470.2437, -1115.7432, -96.3105,  456.7654, -1115.7427, -96.3105,  0, 0, 240
L 456.7654, -1115.7427, -96.3105,  456.7430, -1112.5278, -96.3105,  0, 0, 240
L 456.7430, -1112.5278, -96.3105,  450.6227, -1112.5267, -96.3105,  0, 0, 240
L 450.6227, -1112.5267, -96.3105,  450.6248, -1105.2778, -96.3104,  0, 0, 240
L 450.6248, -1105.2778, -96.3104,  448.9539, -1105.2764, -96.3105,  0, 0, 240
L 448.9539, -1105.2764, -96.3105,  448.9455, -1098.6902, -96.3105,  0, 0, 240
L 451.5812, -1098.6285, -96.3105,  451.5812, -1084.9645, -96.3105,  0, 0, 240
L 448.9504, -1084.8794, -96.3105,  448.9520, -1078.2883, -96.3105,  0, 0, 240
L 448.9520, -1078.2883, -96.3105,  450.6019, -1078.2913, -96.3105,  0, 0, 240
L 450.6019, -1078.2913, -96.3105,  450.6162, -1073.7919, -96.3105,  0, 0, 240
L 450.6162, -1073.7919, -96.3105,  406.5063, -1073.7932, -96.3105,  0, 0, 240
L 406.2921, -1200.6860, -97.4572,  406.5063, -1073.7932, -97.3105,  0, 0, 240
L 451.5514, -1098.6912, -96.3105,  448.9455, -1098.6902, -96.3105,  0, 0, 240
L 451.5819, -1084.8777, -96.3105,  448.9504, -1084.8794, -96.3105,  0, 0, 240
L 419.5337, -1181.9535, -93.9339,  433.9761, -1181.9906, -93.9330,  0, 0, 240
L 433.9761, -1181.9906, -93.9339,  433.9536, -1196.3193, -93.9330,  0, 0, 240
L 433.9536, -1196.3193, -93.9330,  419.4794, -1196.3562, -93.9339,  0, 0, 240
L 419.4794, -1196.3562, -93.9339,  419.5337, -1181.9535, -93.9330,  0, 0, 240
L -17.0706, -1593.3470, -233.4232,  16.2122, -1593.3474, -233.4231,  0, 127, 127
L -13.0222, -1785.6787, -266.3043,  62.0000, -1785.6782, -266.3042,  0, 127, 127
L -13.0222, -1785.6787, -266.3042,  -13.0257, -1789.9999, -266.3042,  0, 127, 127
L -14.4835, -1810.0000, -266.3042,  -14.4828, -1834.1837, -266.3042,  0, 127, 127
L -58.2160, -1858.0000, -266.3042,  -58.2145, -1862.9998, -266.3042,  0, 127, 127
L -82.0000, -1886.3590, -266.3042,  -86.6207, -1886.3606, -266.3042,  0, 127, 127
L -86.6207, -1886.3606, -266.3042,  -86.6336, -1862.3566, -266.3042,  0, 127, 127
L -63.0000, -1905.7228, -266.3042,  -84.9047, -1905.7200, -266.3042,  0, 127, 127
L -86.3036, -1910.1302, -266.3042,  -86.3034, -1929.9050, -266.3040,  240, 240, 240
L -87.7484, -1929.8895, -266.3042,  -87.7528, -1934.3135, -266.3042,  0, 127, 127
L -87.7528, -1934.3135, -266.3042,  -36.7602, -1934.3127, -266.3042,  0, 127, 127
L -36.7602, -1934.3127, -266.3043,  -36.7400, -1910.3174, -266.3042,  0, 127, 127
L -36.7400, -1910.3174, -266.3042,  62.2339, -1910.3170, -266.3042,  0, 127, 127
L 62.2339, -1910.3170, -266.3042,  62.2516, -1886.2762, -266.3042,  0, 127, 127
L 62.3664, -1886.2772, -266.3043,  177.8565, -1886.2766, -266.3041,  0, 127, 127
L 177.8565, -1886.2766, -266.3041,  177.8563, -1910.2771, -266.3042,  0, 127, 127
L 177.8563, -1910.2771, -266.3042,  182.2641, -1910.2834, -266.3042,  0, 127, 127
L 182.2641, -1910.2834, -266.3042,  182.2638, -1835.2889, -266.3042,  0, 127, 127
L 182.2638, -1835.2889, -266.3042,  177.8533, -1835.2844, -266.3042,  0, 127, 127
L 177.8533, -1835.2844, -266.3042,  177.8501, -1881.8702, -266.3042,  0, 127, 127
L 177.8501, -1881.8702, -266.3042,  57.8293, -1881.8622, -266.3042,  0, 127, 127
L 57.8293, -1881.8622, -266.3042,  57.8301, -1905.9097, -266.3042,  0, 127, 127
L 57.8301, -1905.9097, -266.3042,  -11.2517, -1905.9094, -266.3042,  0, 127, 127
L -11.2517, -1905.9094, -266.3042,  -11.2496, -1884.8351, -266.3042,  0, 127, 127
L -11.2496, -1884.8351, -266.3042,  -15.6601, -1884.8290, -266.3042,  0, 127, 127
